標準報酬_等級,標準報酬_月額,報酬月額_以上,報酬月額_未満,介護保険の被保険者でない場合_全額,介護保険の被保険者でない場合_折半額,介護保険の被保険者でない場合_控除額,介護保険の被保険者の場合_全額,介護保険の被保険者の場合_折半額,介護保険の被保険者の場合_控除額
1,58000,,63000.0,5707.2,2853.6,2854,6751.2,3375.6,3376
2,68000,63000.0,73000.0,6691.2,3345.6,3346,7915.2,3957.6,3958
3,78000,73000.0,83000.0,7675.2,3837.6,3838,9079.2,4539.6,4540
4,88000,83000.0,93000.0,8659.2,4329.6,4330,10243.2,5121.6,5122
5,98000,93000.0,101000.0,9643.2,4821.6,4822,11407.2,5703.6,5704
6,104000,101000.0,107000.0,10233.6,5116.8,5117,12105.6,6052.8,6053
7,110000,107000.0,114000.0,10824.0,5412.0,5412,12804.0,6402.0,6402
8,118000,114000.0,122000.0,11611.2,5805.6,5806,13735.2,6867.6,6868
9,126000,122000.0,130000.0,12398.4,6199.2,6199,14666.4,7333.2,7333
10,134000,130000.0,138000.0,13185.6,6592.8,6593,15597.6,7798.8,7799
11,142000,138000.0,146000.0,13972.8,6986.4,6986,16528.8,8264.4,8264
12,150000,146000.0,155000.0,14760.0,7380.0,7380,17460.0,8730.0,8730
13,160000,155000.0,165000.0,15744.0,7872.0,7872,18624.0,9312.0,9312
14,170000,165000.0,175000.0,16728.0,8364.0,8364,19788.0,9894.0,9894
15,180000,175000.0,185000.0,17712.0,8856.0,8856,20952.0,10476.0,10476
16,190000,185000.0,195000.0,18696.0,9348.0,9348,22116.0,11058.0,11058
17,200000,195000.0,210000.0,19680.0,9840.0,9840,23280.0,11640.0,11640
18,220000,210000.0,230000.0,21648.0,10824.0,10824,25608.0,12804.0,12804
19,240000,230000.0,250000.0,23616.0,11808.0,11808,27936.0,13968.0,13968
20,260000,250000.0,270000.0,25584.0,12792.0,12792,30264.0,15132.0,15132
21,280000,270000.0,290000.0,27552.0,13776.0,13776,32592.0,16296.0,16296
22,300000,290000.0,310000.0,29520.0,14760.0,14760,34920.0,17460.0,17460
23,320000,310000.0,330000.0,31488.0,15744.0,15744,37248.0,18624.0,18624
24,340000,330000.0,350000.0,33456.0,16728.0,16728,39576.0,19788.0,19788
25,360000,350000.0,370000.0,35424.0,17712.0,17712,41904.0,20952.0,20952
26,380000,370000.0,395000.0,37392.0,18696.0,18696,44232.0,22116.0,22116
27,410000,395000.0,425000.0,40344.0,20172.0,20172,47724.0,23862.0,23862
28,440000,425000.0,455000.0,43296.0,21648.0,21648,51216.0,25608.0,25608
29,470000,455000.0,485000.0,46248.0,23124.0,23124,54708.0,27354.0,27354
30,500000,485000.0,515000.0,49200.0,24600.0,24600,58200.0,29100.0,29100
31,530000,515000.0,545000.0,52152.0,26076.0,26076,61692.0,30846.0,30846
32,560000,545000.0,575000.0,55104.0,27552.0,27552,65184.0,32592.0,32592
33,590000,575000.0,605000.0,58056.0,29028.0,29028,68676.0,34338.0,34338
34,620000,605000.0,635000.0,61008.0,30504.0,30504,72168.0,36084.0,36084
35,650000,635000.0,665000.0,63960.0,31980.0,31980,75660.0,37830.0,37830
36,680000,665000.0,695000.0,66912.0,33456.0,33456,79152.0,39576.0,39576
37,710000,695000.0,730000.0,69864.0,34932.0,34932,82644.0,41322.0,41322
38,750000,730000.0,770000.0,73800.0,36900.0,36900,87300.0,43650.0,43650
39,790000,770000.0,810000.0,77736.0,38868.0,38868,91956.0,45978.0,45978
40,830000,810000.0,855000.0,81672.0,40836.0,40836,96612.0,48306.0,48306
41,880000,855000.0,905000.0,86592.0,43296.0,43296,102432.0,51216.0,51216
42,930000,905000.0,955000.0,91512.0,45756.0,45756,108252.0,54126.0,54126
43,980000,955000.0,1005000.0,96432.0,48216.0,48216,114072.0,57036.0,57036
44,1030000,1005000.0,1055000.0,101352.0,50676.0,50676,119892.0,59946.0,59946
45,1090000,1055000.0,1115000.0,107256.0,53628.0,53628,126876.0,63438.0,63438
46,1150000,1115000.0,1175000.0,113160.0,56580.0,56580,133860.0,66930.0,66930
47,1210000,1175000.0,1235000.0,119064.0,59532.0,59532,140844.0,70422.0,70422
48,1270000,1235000.0,1295000.0,124968.0,62484.0,62484,147828.0,73914.0,73914
49,1330000,1295000.0,1355000.0,130872.0,65436.0,65436,154812.0,77406.0,77406
50,1390000,1355000.0,,136776.0,68388.0,68388,161796.0,80898.0,80898
