標準報酬_等級,標準報酬_月額,報酬月額_以上,報酬月額_未満,全額,折半額,控除額
1,88000,,93000.0,16104.0,8052.0,8052
2,98000,93000.0,101000.0,17934.0,8967.0,8967
3,104000,101000.0,107000.0,19032.0,9516.0,9516
4,110000,107000.0,114000.0,20130.0,10065.0,10065
5,118000,114000.0,122000.0,21594.0,10797.0,10797
6,126000,122000.0,130000.0,23058.0,11529.0,11529
7,134000,130000.0,138000.0,24522.0,12261.0,12261
8,142000,138000.0,146000.0,25986.0,12993.0,12993
9,150000,146000.0,155000.0,27450.0,13725.0,13725
10,160000,155000.0,165000.0,29280.0,14640.0,14640
11,170000,165000.0,175000.0,31110.0,15555.0,15555
12,180000,175000.0,185000.0,32940.0,16470.0,16470
13,190000,185000.0,195000.0,34770.0,17385.0,17385
14,200000,195000.0,210000.0,36600.0,18300.0,18300
15,220000,210000.0,230000.0,40260.0,20130.0,20130
16,240000,230000.0,250000.0,43920.0,21960.0,21960
17,260000,250000.0,270000.0,47580.0,23790.0,23790
18,280000,270000.0,290000.0,51240.0,25620.0,25620
19,300000,290000.0,310000.0,54900.0,27450.0,27450
20,320000,310000.0,330000.0,58560.0,29280.0,29280
21,340000,330000.0,350000.0,62220.0,31110.0,31110
22,360000,350000.0,370000.0,65880.0,32940.0,32940
23,380000,370000.0,395000.0,69540.0,34770.0,34770
24,410000,395000.0,425000.0,75030.0,37515.0,37515
25,440000,425000.0,455000.0,80520.0,40260.0,40260
26,470000,455000.0,485000.0,86010.0,43005.0,43005
27,500000,485000.0,515000.0,91500.0,45750.0,45750
28,530000,515000.0,545000.0,96990.0,48495.0,48495
29,560000,545000.0,575000.0,102480.0,51240.0,51240
30,590000,575000.0,605000.0,107970.0,53985.0,53985
31,620000,605000.0,,113460.0,56730.0,56730
